"","OTU","Sample","Abundance","sample_Sample","Experiment","Temperature","Treatment","Week","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"85","sq29","Mat_29P_TCCCGA_",0.0744715528697876,"Mat_29P_TCCCGA_","Summer",26,"Few Large",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"86","sq19","Mat_25P_TCCCGA_",0.0743952802359882,"Mat_25P_TCCCGA_","Summer",22,"ND",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"87","sq8","Mat_6P_TCATTC_",0.0743079783034964,"Mat_6P_TCATTC_","Summer",26,"Few Small",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"88","sq64","Mat_35P_TCGGCA_",0.0740756710143365,"Mat_35P_TCGGCA_","Summer",26,"Many Small",3,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"89","sq29","MM_Nab_C1_",0.0739690482809749,"MM_Nab_C1_","Summer",26,"Few Large",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"90","sq29","Mat_15P_TCATTC_",0.0731624826803696,"Mat_15P_TCATTC_","Summer",22,"HD",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"91","sq15","MM_Nab_A3_",0.0720847154886451,"MM_Nab_A3_","Summer",22,"Few Large",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"92","sq64","Mat_32P_TCGGCA_",0.0720444097493278,"Mat_32P_TCGGCA_","Summer",26,"Few Small",3,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"93","sq8","MM_Nab_B4_",0.0713420835956798,"MM_Nab_B4_","Summer",22,"Few Small",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"94","sq15","Mat_18P_TCCCGA_",0.0710225987848818,"Mat_18P_TCCCGA_","Summer",22,"Few Large",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"95","sq64","Mat_4P_TATAAT_",0.0709136567509151,"Mat_4P_TATAAT_","Summer",26,"Few Large",1,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"96","sq15","Mat_30P_TCGGCA_",0.0706430535223337,"Mat_30P_TCGGCA_","Summer",26,"Few Large",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"97","sq61","MM_Nab_B3_",0.0705933141881112,"MM_Nab_B3_","Summer",22,"Few Large",5,FALSE,"Bacteria","Acidobacteriota","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae",NA,NA
"98","sq15","Mat_3P_TATAAT_",0.0705632848846893,"Mat_3P_TATAAT_","Summer",26,"Few Large",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"99","sq288","Mat_12P_TCATTC_",0.070193346055415,"Mat_12P_TCATTC_","Summer",26,"ND",1,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae",NA,NA
"100","sq15","MM_Nab_A12_",0.0696414753675522,"MM_Nab_A12_","Summer",22,"HD",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"101","sq19","Mat_26P_TCCCGA_",0.0689680030483096,"Mat_26P_TCCCGA_","Summer",22,"ND",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"102","sq15","MM_Nab_B3_",0.0688664902303057,"MM_Nab_B3_","Summer",22,"Few Large",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"103","sq15","Mat_35P_TCGGCA_",0.0688369084833459,"Mat_35P_TCGGCA_","Summer",26,"Many Small",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"104","sq15","MM_Nab_C8_",0.0685036082781654,"MM_Nab_C8_","Summer",26,"Many Small",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"105","sq15","Mat_37P_TCGGCA_",0.0683911628229102,"Mat_37P_TCGGCA_","Summer",26,"ND",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"106","sq8","Mat_29P_TCCCGA_",0.068378425816805,"Mat_29P_TCCCGA_","Summer",26,"Few Large",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"107","sq169","Mat_11P_TCATTC_",0.0681952439175173,"Mat_11P_TCATTC_","Summer",26,"Many Small",1,FALSE,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae",NA,NA
"108","sq15","MM_Nab_C12_",0.0681910953208859,"MM_Nab_C12_","Summer",26,"ND",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"109","sq8","Mat_23P_TCCCGA_",0.0677035018552876,"Mat_23P_TCCCGA_","Summer",22,"Many Small",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"110","sq64","MM_Nab_B2_",0.06765128741341,"MM_Nab_B2_","Summer",22,"Few Large",5,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"111","sq14","Mat_27P_TCCCGA_",0.0676506899452633,"Mat_27P_TCCCGA_","Summer",22,"ND",3,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"112","sq15","MM_Nab_B12_",0.0673301432648237,"MM_Nab_B12_","Summer",22,"ND",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"113","sq8","MM_Nab_A5_",0.0671762183005764,"MM_Nab_A5_","Summer",22,"Few Small",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"114","sq19","Mat_23P_TCCCGA_",0.0666888914656772,"Mat_23P_TCCCGA_","Summer",22,"Many Small",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"115","sq19","MM_Nab_C5_",0.0664900346813926,"MM_Nab_C5_","Summer",26,"Few Small",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"116","sq14","MM_Nab_B7_",0.0664417255297679,"MM_Nab_B7_","Summer",22,"Many Small",5,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"117","sq15","Mat_17P_TCATTC_",0.0664117554940753,"Mat_17P_TCATTC_","Summer",22,"Few Large",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"118","sq15","Mat_8P_TCATTC_",0.066364905338194,"Mat_8P_TCATTC_","Summer",26,"Few Small",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"119","sq8","Mat_10P_TCATTC_",0.0661413089612631,"Mat_10P_TCATTC_","Summer",26,"Many Small",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"120","sq64","MM_Nab_B8_",0.066118337158888,"MM_Nab_B8_","Summer",22,"Many Small",5,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"121","sq15","Mat_4P_TATAAT_",0.066116115490811,"Mat_4P_TATAAT_","Summer",26,"Few Large",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"122","sq19","MM_Nab_C10_",0.0660497529874034,"MM_Nab_C10_","Summer",26,"ND",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
